name,rating,categories,address,zip_code,doordash_url,google_maps_url,embedding_text
Cafe Lago,4.5,Restaurant,"2305 24th Avenue East, Seattle",98105,https://www.doordash.com/store-search/?query=Cafe+Lago+98105,https://www.google.com/maps/place/?q=place_id:ChIJbb0Xf8QUkFQRlqZs39PX_O0,"Cafe Lago. Category: Restaurant. Located at 2305 24th Avenue East, Seattle. Rated 4.5 stars."
Nishino,4.6,Meal Takeaway,"3130 East Madison Street, Seattle",98105,https://www.doordash.com/store-search/?query=Nishino+98105,https://www.google.com/maps/place/?q=place_id:ChIJT_OIq9IUkFQRyxvBIQWRZg8,"Nishino. Category: Meal Takeaway. Located at 3130 East Madison Street, Seattle. Rated 4.6 stars."
Veggie Grill - University Village,4.3,Restaurant,"2681 Northeast University Village Street, Seattle",98105,https://www.doordash.com/store-search/?query=Veggie+Grill+-+University+Village+98105,https://www.google.com/maps/place/?q=place_id:ChIJo6Dh_4UUkFQRv4deKp03S6w,"Veggie Grill - University Village. Category: Restaurant. Located at 2681 Northeast University Village Street, Seattle. Rated 4.3 stars."
Finn MacCool’s Irish Public House,4.0,Bar,"4217 University Way Northeast, Seattle",98105,https://www.doordash.com/store-search/?query=Finn+MacCool%E2%80%99s+Irish+Public+House+98105,https://www.google.com/maps/place/?q=place_id:ChIJAwwZrvQUkFQRu6zb8LQWYig,"Finn MacCool’s Irish Public House. Category: Bar. Located at 4217 University Way Northeast, Seattle. Rated 4 stars."
Piatti,4.1,Restaurant,"2695 Northeast Village Lane, Seattle",98105,https://www.doordash.com/store-search/?query=Piatti+98105,https://www.google.com/maps/place/?q=place_id:ChIJy7wT-IUUkFQR_p6A7eS0SZU,"Piatti. Category: Restaurant. Located at 2695 Northeast Village Lane, Seattle. Rated 4.1 stars."
Queen Mary Tea Room & Restaurant,4.5,Restaurant,"2912 Northeast 55th Street, Seattle",98105,https://www.doordash.com/store-search/?query=Queen+Mary+Tea+Room+%26+Restaurant+98105,https://www.google.com/maps/place/?q=place_id:ChIJrSCXsYAUkFQRz6CAeOdb5Ik,"Queen Mary Tea Room & Restaurant. Category: Restaurant. Located at 2912 Northeast 55th Street, Seattle. Rated 4.5 stars."
Subway,3.4,Meal Takeaway,"5401 25th Avenue Northeast, Seattle",98105,https://www.doordash.com/store-search/?query=Subway+98105,https://www.google.com/maps/place/?q=place_id:ChIJ0ZAVeH0UkFQR_Ude2Bmp3IY,"Subway. Category: Meal Takeaway. Located at 5401 25th Avenue Northeast, Seattle. Rated 3.4 stars."
Wayward Vegan,4.6,Cafe,"801 Northeast 65th Street Suite C, Seattle",98105,https://www.doordash.com/store-search/?query=Wayward+Vegan+98105,https://www.google.com/maps/place/?q=place_id:ChIJi5Mg6GMUkFQRz_FTACxLeJs,"Wayward Vegan. Category: Cafe. Located at 801 Northeast 65th Street Suite C, Seattle. Rated 4.6 stars."
The Attic,4.2,Bar,"4226 East Madison Street, Seattle",98105,https://www.doordash.com/store-search/?query=The+Attic+98105,https://www.google.com/maps/place/?q=place_id:ChIJI9HnJrQUkFQRgfVglJxLOVU,"The Attic. Category: Bar. Located at 4226 East Madison Street, Seattle. Rated 4.2 stars."
Greenlake Bar & Grill,4.0,Bar,"7200 East Green Lake Drive North, Seattle",98105,https://www.doordash.com/store-search/?query=Greenlake+Bar+%26+Grill+98105,https://www.google.com/maps/place/?q=place_id:ChIJEZ4GIG0UkFQR7PTWzWPbIuE,"Greenlake Bar & Grill. Category: Bar. Located at 7200 East Green Lake Drive North, Seattle. Rated 4 stars."
Little Water Cantina,4.0,"Night Club, Bar","2865 Eastlake Avenue East, Seattle",98105,https://www.doordash.com/store-search/?query=Little+Water+Cantina+98105,https://www.google.com/maps/place/?q=place_id:ChIJu9LYj-QUkFQRxb9K4D7e9bI,"Little Water Cantina. Category: Night Club, Bar. Located at 2865 Eastlake Avenue East, Seattle. Rated 4 stars."
MOD Pizza,4.3,Restaurant,"1414 Northeast 42nd Street Suite 103B, Seattle",98105,https://www.doordash.com/store-search/?query=MOD+Pizza+98105,https://www.google.com/maps/place/?q=place_id:ChIJbROKVPMUkFQRIxq3W7CzQ58,"MOD Pizza. Category: Restaurant. Located at 1414 Northeast 42nd Street Suite 103B, Seattle. Rated 4.3 stars."
Mighty-O Donuts- Greenlake,4.6,"Cafe, Bakery, Store","2110 North 55th Street, Seattle",98105,https://www.doordash.com/store-search/?query=Mighty-O+Donuts-+Greenlake+98105,https://www.google.com/maps/place/?q=place_id:ChIJO2vSTUMUkFQR7x7xkPYRHd4,"Mighty-O Donuts- Greenlake. Category: Cafe, Bakery, Store. Located at 2110 North 55th Street, Seattle. Rated 4.6 stars."
U:Don Fresh Japanese Noodle Station – University District,4.4,Meal Delivery,"4515 University Way Northeast, Seattle",98105,https://www.doordash.com/store-search/?query=U%3ADon+Fresh+Japanese+Noodle+Station+%E2%80%93+University+District+98105,https://www.google.com/maps/place/?q=place_id:ChIJu8FM74oUkFQRTIfGPPZ2xqI,"U:Don Fresh Japanese Noodle Station – University District. Category: Meal Delivery. Located at 4515 University Way Northeast, Seattle. Rated 4.4 stars."
