name,category,rating,address,zip_code,description,doordash_url
Cafe Solstice,Cafe,4.4,4116 University Wy NE,98105,Cafe rated 4.4/5 located at 4116 University Wy NE (ZIP 98105).,https://www.doordash.com/business/dicks-drive-in-24463/?srsltid=AfmBOoo2cmEWr_6I8wLiUTRuSX1Te8bkYr8i75E1COnv_46U1sw2iKzA
Easy Caribbean,Caribbean,4.4,5600 Roosevelt Way NE,98105,Caribbean rated 4.4/5 located at 5600 Roosevelt Way NE (ZIP 98105).,https://www.doordash.com/store/chilis-south-indian-cuisine-1424853/?srsltid=AfmBOop1C_7u3IKULr2bvV_qHtT-WYH-e63BHZ5a-EvHylLVsr3QDmFH
Kate's Pub,Restaurant,4.6,309 NE 45th St,98105,Restaurant rated 4.6/5 located at 309 NE 45th St (ZIP 98105).,https://www.doordash.com/store/palmi-korean-bbq-seattle-186279/?srsltid=AfmBOoqE1W4RzPD3BoSwO6tuFUP_-sVrDFjwc8Aek4l5-6pAz3vFVkCE
Yummy Cafe,Chinese,4.3,4008 NE 55th St,98105,Chinese rated 4.3/5 located at 4008 NE 55th St (ZIP 98105).,https://www.doordash.com/store/tig-kitchen-and-bar-seattle-632801/?srsltid=AfmBOooAy7mzKZ8KOIjP0x0M6FRAcaG6kgfLo_6sxqssYhFMJ-hJaSLc
Shake Shack University Village,Hamburger,3.9,2580 NE University Village St,98105,Hamburger rated 3.9/5 located at 2580 NE University Village St (ZIP 98105).,https://www.doordash.com/store/marlai-fine-thai-cuisine-seattle-707777/?srsltid=AfmBOoqXpTSfHYLUEE09goMT3InywZB-J41i3m5F6sP4yxjNMdPa0V0M
Evergreens,Restaurant,4.1,4609 NE University Village St,98105,Restaurant rated 4.1/5 located at 4609 NE University Village St (ZIP 98105).,https://www.doordash.com/store/el-camion-seattle-356831/?srsltid=AfmBOoqA40vprGJcFcxws4EJ3XShp0gHCS9CoifLMG0iFHXEcpElQbjH
Pasta & Co,Restaurant,4.0,4622 26th Ave NE,98105,Restaurant rated 4.0/5 located at 4622 26th Ave NE (ZIP 98105).,https://www.doordash.com/products/jovy-revolcaditas-sandia-candy-6-oz/urpc_61665bca-7e43-4ef1-9bde-64abf361e2bd?srsltid=AfmBOoqjqACtRlRXNqRlH4tISkpmwQHhr9QkfabxKm3TUfE687UKlKHb
Jai Thai Udub,Thai,3.9,4214 University Wy NE until A,98105,Thai rated 3.9/5 located at 4214 University Wy NE until A (ZIP 98105).,https://www.doordash.com/store/rotunda-cafe-madison-24938549/?srsltid=AfmBOorXpcQnd27zzXgyqQyUcrGQZGoDXwrc8u0mEn2bLZLAh3hq6G9L
Village Sushi,Japanese,4.6,5211 University Wy NE,98105,Japanese rated 4.6/5 located at 5211 University Wy NE (ZIP 98105).,https://www.doordash.com/store/pho-than-brothers-seattle-43889/?srsltid=AfmBOopGpyE086lBCpt-oMDTLoyN_cyufZTkrpow2wGT5SF4Chb8SUI5
Maggi Point Restaurant Indian Food indo chinese food,Indian,4.2,4736 University Wy NE,98105,Indian rated 4.2/5 located at 4736 University Wy NE (ZIP 98105).,https://www.doordash.com/business/a-pizza-mart-bar-&-grill-53897/?srsltid=AfmBOooExUOHqfGfOQxNKA86Ku_IjTLaAKpOMIf2KjMiwp08ryz0ibiR
Varlamos Pizzeria,Pizza,4.6,3617 NE 45th St,98105,Pizza rated 4.6/5 located at 3617 NE 45th St (ZIP 98105).,https://www.doordash.com/store/ku-sushi-and-izakaya-seattle-48638/?srsltid=AfmBOor-w1ATQSMSS-cwcmVv4TDOmYta9Qq2UEjQC0ARgcg0k4g8bTR6
BB's Teriyaki Grill,Asian,4.2,4221 University Wy NE,98105,Asian rated 4.2/5 located at 4221 University Wy NE (ZIP 98105).,https://www.doordash.com/business/ivars-seafood-bar-26134/?srsltid=AfmBOopXK0Av-E-bnKgeeRz8fW1pBu5eQKvu4N4iVs0JaBwDIDmTWth2
Dick's Drive-In,Hamburger,4.6,111 NE 45th St,98105,Hamburger rated 4.6/5 located at 111 NE 45th St (ZIP 98105).,https://www.doordash.com/store/sip-house-seattle-1073538/?srsltid=AfmBOoqx8HorTzBNP_cJtEE8DqEVukyTmnxbz57tL96wRb3oh5qgQWxd
